#Coor		Free	+/-		Prob		+/-
1.415278	7.430009	-nan	0.000000	-nan
1.445833	6.389207	-nan	0.000001	-nan
1.476389	5.282780	-nan	0.000006	-nan
1.506944	4.520008	-nan	0.000023	-nan
1.537500	3.986889	-nan	0.000057	-nan
1.568056	3.750774	-nan	0.000085	-nan
1.598611	3.720542	-nan	0.000089	-nan
1.629167	3.701964	-nan	0.000092	-nan
1.659722	3.939230	-nan	0.000062	-nan
1.690278	4.253937	-nan	0.000036	-nan
1.720833	4.641856	-nan	0.000019	-nan
1.751389	5.081676	-nan	0.000009	-nan
1.781944	5.472359	-nan	0.000005	-nan
1.812500	5.765233	-nan	0.000003	-nan
1.843056	5.996869	-nan	0.000002	-nan
1.873611	6.253506	-nan	0.000001	-nan
1.904167	6.467921	-nan	0.000001	-nan
1.934722	6.572781	-nan	0.000001	-nan
1.965278	6.710486	-nan	0.000001	-nan
1.995833	6.874371	-nan	0.000000	-nan
2.026389	6.998972	-nan	0.000000	-nan
2.056944	7.127207	-nan	0.000000	-nan
2.087500	7.232327	-nan	0.000000	-nan
2.118056	7.289652	-nan	0.000000	-nan
2.148611	7.305225	-nan	0.000000	-nan
2.179167	7.324656	-nan	0.000000	-nan
2.209722	7.361550	-nan	0.000000	-nan
2.240278	7.294403	-nan	0.000000	-nan
2.270833	7.212935	-nan	0.000000	-nan
2.301389	7.109025	-nan	0.000000	-nan
2.331944	7.023771	-nan	0.000000	-nan
2.362500	6.889927	-nan	0.000000	-nan
2.393056	6.748648	-nan	0.000001	-nan
2.423611	6.530611	-nan	0.000001	-nan
2.454167	6.365810	-nan	0.000001	-nan
2.484722	6.247654	-nan	0.000001	-nan
2.515278	6.152336	-nan	0.000001	-nan
2.545833	5.977851	-nan	0.000002	-nan
2.576389	5.820513	-nan	0.000003	-nan
2.606944	5.640833	-nan	0.000003	-nan
2.637500	5.240999	-nan	0.000007	-nan
2.668056	4.857069	-nan	0.000013	-nan
2.698611	4.723314	-nan	0.000016	-nan
2.729167	4.436367	-nan	0.000027	-nan
2.759722	4.031199	-nan	0.000053	-nan
