0.940625 3.714319
0.956875 2.11921
0.973125 0.815022
0.989375 0
1.005625 0.618825
1.021875 1.366252
1.038125 1.719073
1.054375 2.071107
1.070625 2.468002
1.086875 2.887239
1.103125 3.159439
1.119375 3.493593
1.135625 3.826946
1.151875 4.064461
1.168125 4.350365
1.184375 4.76057
1.200625 5.031246
1.216875 5.194475
1.233125 5.384276
1.249375 5.812421
1.265625 6.064762
1.281875 6.32939
1.298125 6.57135
1.314375 6.789212
1.330625 7.054498
1.346875 7.345135
1.363125 7.599108
1.379375 7.818777
1.395625 8.004405
1.411875 8.179755
1.428125 8.267908
1.444375 8.339424
1.460625 8.364621
1.476875 8.348578
1.493125 8.353961
1.509375 8.308785
1.525625 8.292902
1.541875 8.216266
1.558125 8.174452
1.574375 8.10587
1.590625 8.069369
1.606875 7.93611
1.623125 7.832401
1.639375 7.716217
1.655625 7.601904
1.671875 7.457447
1.688125 7.330141
1.704375 7.188647
1.720625 6.985682
1.736875 6.740783
1.753125 6.446845
1.769375 6.042121
1.785625 5.723634
1.801875 5.413139
1.818125 4.973252
1.834375 4.370057
1.850625 3.697669
1.866875 2.930003
1.883125 2.326418
1.899375 1.864388
1.915625 1.432499
1.931875 1.175984
1.948125 1.383161
1.964375 2.330383
1.980625 4.481295
